datasetKey,Observer,Focus_Vert,Focus_Mam
6ac3f774-d9fb-4796-b3e9-92bf6c81c084,Citizen,FALSE,FALSE
71577ce3-32ea-4cf7-8046-b8ed4e098ffc,Mixed,TRUE,TRUE
80576d53-992a-41f3-a3e3-dfd0fa0242ee,Scientific,FALSE,FALSE
8821e36f-2d25-44c8-a95e-fb978f38ecde,Scientific,FALSE,FALSE
912ac7b3-f473-435b-97d1-20b6ed0a6208,Citizen,TRUE,TRUE
93c8cc03-30cf-474e-8173-dbe5a22a5d28,Scientific,TRUE,TRUE
a8c8144a-3693-4d92-8bc4-49e00dd8defc,Mixed,FALSE,FALSE
b1047888-ae52-4179-9dd5-5448ea342a24,Citizen,TRUE,TRUE
b480871a-6c2f-4c35-ab94-6de203c4ff28,Mixed,FALSE,FALSE
d135ba77-9d68-466b-bff9-8d1a0c53b7d7,Scientific,TRUE,TRUE
d2a0dd22-9d39-4de2-99fb-5dde3ee3f49e,Scientific,TRUE,TRUE
ddcc85ee-cb47-47a6-8789-711d6852145a,Scientific,TRUE,TRUE
eaaabe3b-e64a-4819-a007-2c3529eb4bf7,Mixed,TRUE,TRUE
f32a222c-9b32-47d2-8d29-b48be4a78128,Scientific,TRUE,TRUE
f84902b2-ef45-4e89-83e7-5d1f190f0562,Mixed,TRUE,TRUE
039ece6c-1e6d-4441-8392-43ab8bb29c47,Mixed,TRUE,TRUE
046fedf4-29ee-45e9-a421-a4b82c229f1d,Mixed,TRUE,TRUE
07d54123-75b8-4660-9482-e4c665e6f069,Scientific,TRUE,TRUE
11a24c97-653b-4e4c-a524-a4c06ffab25f,Scientific,TRUE,TRUE
2150bbfa-51d0-4557-ab15-fb9459881eb7,Mixed,TRUE,TRUE
2790adc5-c709-427c-8d04-804590d98272,Scientific,TRUE,TRUE
2e3454ce-5b2d-4bf4-bc23-ca5769f58137,Mixed,TRUE,TRUE
2f17fba4-4915-47cc-9045-f8c7c8ea181e,Scientific,TRUE,TRUE
2f79cc6e-6b14-4162-a4b5-e7415f0716ea,Mixed,TRUE,TRUE
3c2fb76f-ed3f-40dc-bb40-21adbbd857d5,Mixed,TRUE,TRUE
