"Publisher" "Observer" "FocusTaxaTorF" "datasetKey"
"DBRC Arvicola amphibius records 1925 - 2016" "Scientific" TRUE "bde5b63d-8664-4632-bc8b-d06653b09b22"
"Isle of Wight Notable Species" "Scientific" TRUE "3c2fb76f-ed3f-40dc-bb40-21adbbd857d5"
"Miscellaneous records held by BIS" "Scientific" FALSE "5a1b62b2-4a1f-4404-b481-87836564d4a5"
"NBMP Sunset-Sunrise Survey" "Scientific" TRUE "bd552593-f9c8-4b54-8887-fb00b647c6f9"
"North Merseyside Local Species Data (DEFRA Grant 23169)" "Scientific" FALSE "e351951e-32da-46d6-b61c-e9816d39e0d4"
"Marine mammal monitoring from coastal sites in Cardigan Bay, UK, 2004-2009" "Scientific" TRUE "046fedf4-29ee-45e9-a421-a4b82c229f1d"
"David Dodds Associates Ltd - Species Records" "Scientific" TRUE "ee0321a6-9e6d-4501-94aa-f12cef9c5680"
"Invasive Species and Pests" "Scientific" TRUE "d0cee8f6-dbf9-4355-a9c2-62ab51fe36fd"
"Fife Nature Records Centre combined dataset" "Scientific" FALSE "c358edb6-9b46-45eb-a173-b854910500a9"
"Scottish Beaver Trial observations, Knapdale, 2009-2014" "Scientific" TRUE "11a24c97-653b-4e4c-a524-a4c06ffab25f"
"INNS records held by BIS in Powys and Brecon Beacons National Park" "Scientific" FALSE "b8866a8d-adc7-4a3a-887b-e59f830bb988"
"Observation.org, Nature data from around the World" "Scientific" FALSE "8a863029-f435-446a-821e-275f4f641165"
"Isle of Man wildlife records from 01/01/2000 to 13/02/2017" "Scientific" FALSE "0d9accc4-309d-44ad-901e-f221e1d0ec80"
"Environment Agency Rare and Protected Species Records" "Scientific" FALSE "db1abc39-7b60-4103-815d-820fa37cb62b"
"Ad-hoc Bat Records from Across Wales" "Scientific" TRUE "039ece6c-1e6d-4441-8392-43ab8bb29c47"
"Natural Resources Wales (NRW) Licence Return Dataset" "Scientific" FALSE "f38773f9-2255-408e-9d17-44fa8ca4b962"
"Argyll Biological Records Dataset" "Scientific" FALSE "1c736f5f-18d4-40d3-b25a-ec9d3c3500c7"
"Records of Invasive Non Native Species held on the Cofnod database" "Scientific" TRUE "efde0b80-02d6-4e50-9e6a-4b4329bfeec6"
"INNS Data: All Taxa (South East Wales)" "Scientific" TRUE "2150bbfa-51d0-4557-ab15-fb9459881eb7"
"Mammal records from Britain from the Atlas of Mammals (1993), with some subsequent records" "Scientific" FALSE "e6d9a4a4-dbf0-4a3e-87c2-91b6af1f9771"
