datasetKey,Publisher,Dataset,Observer,Focus_Vert,Focus_Mam
db1abc39-7b60-4103-815d-820fa37cb62b,Environment Agency Rare and Protected Species Records,NA,Scientific,TRUE,TRUE
e19276e7-0698-4145-ab85-c32c6c76b098,NRW Regional Data: South East Wales Sensitive species,NA,Scientific,TRUE,TRUE
e6d9a4a4-dbf0-4a3e-87c2-91b6af1f9771,"Mammal records from Britain from the Atlas of Mammals (1993), with some subsequent records",NA,Citizen,FALSE,FALSE
f38773f9-2255-408e-9d17-44fa8ca4b962,Natural Resources Wales (NRW) Licence Return Dataset,NA,Scientific,FALSE,FALSE
08360455-914e-4d02-809a-13e3cd8a8d21,Living with Mammals survey,Living with Mammals survey,Citizen,TRUE,FALSE
67c45ca3-0c6c-4da2-a1e8-621ef52bd559,Mammal Records (West Wales),Mammal Records (West Wales),Mixed,TRUE,FALSE
67e2335c-4303-4ee3-9bfe-ecfe65662629,"National Mammal Atlas Project, online recording",National Mammal Atlas Project,Citizen,TRUE,FALSE
710ad05a-25cf-4129-80ce-c2702cdfa33f,SEWBReC Mammals (South East Wales),SEWBReC Mammals (South East Wales),Mixed,TRUE,FALSE
8898e990-9d39-4871-9e6e-d1031c19e24b,Mammal Mapper App Sighting Records,Mammal Mapper App Sighting Records,Citizen,TRUE,FALSE
94c821bd-28bf-4571-a97e-e696ba2f3425,Atlas of Mammals in Ireland 2010-2015,Atlas of Mammals in Ireland 2010-2015,Citizen,TRUE,FALSE
9a829fb0-427c-4699-812d-9cff5ba8b607,Mammal records for Dumfries and Galloway,Mammal records for Dumfries and Galloway,Mixed,TRUE,FALSE
100a9054-e46c-4302-b059-3a8836df1cf7,NA,1921 Onwards Swift Screaming Parties,Mixed,TRUE,TRUE
115f45ed-4334-4144-b5c5-669027e9b191,NA,Bird Atlas 2007 - 2011,Scientific,TRUE,TRUE
1a7546cc-da20-44e0-a5b3-448e41ffd9c8,NA,South East Scotland Tetrad Atlas 2007 - 2013 - non-sensitive winter species,Scientific,TRUE,TRUE
1b11a5e3-6991-44fd-848b-6fd9c1368c58,NA,Casual records for Scottish Wildlife Trust reserves - Verified data,Citizen,FALSE,FALSE
230071a6-1388-4fb7-a399-695932faec71,NA,North East Scotland Breeding Bird Atlas 2002-06,Scientific,TRUE,TRUE
233ba471-91a2-47a4-9946-b7e844f2124c,NA,Montgomeryshire Wildlife Trust records held by BIS,Mixed,FALSE,FALSE
2a101f26-35e1-4197-94ec-bd25033292a7,NA,Staffordshire Wildlife Trust Nature Reserves Inventory,Citizen,TRUE,TRUE
3a0e9440-0a97-4a04-8089-7398c77da0be,NA,SEWBReC Birds (South East Wales),Mixed,TRUE,TRUE
3a1bf23b-9951-4e6a-bade-5383e1ba6efe,NA,City of Edinburgh Natural Heritage Service - Bavelaw Marsh Bird Hide Records,Citizen,TRUE,TRUE
3bd7b984-6bbd-4194-95aa-114271d9ee68,NA,Sheffield Bird Study Group (Yorkshire records),Mixed,TRUE,TRUE
3d6c8883-c29b-48f6-9fbf-9a5ad6ecbee4,NA,Bird Conservation Targeting Project (BCTP) in the UK,Mixed,TRUE,TRUE
